Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
VER,1.0,0 days 00:01:40.236000,SOFT,1.0,,,2022,1
VER,2.0,0 days 00:01:37.880000,SOFT,1.0,,,2022,1
VER,3.0,0 days 00:01:38.357000,SOFT,1.0,,,2022,1
VER,4.0,0 days 00:01:38.566000,SOFT,1.0,,,2022,1
VER,5.0,0 days 00:01:38.877000,SOFT,1.0,,,2022,1
VER,6.0,0 days 00:01:38.940000,SOFT,1.0,,,2022,1
VER,7.0,0 days 00:01:39.062000,SOFT,1.0,,,2022,1
VER,8.0,0 days 00:01:39.092000,SOFT,1.0,,,2022,1
VER,9.0,0 days 00:01:39.251000,SOFT,1.0,,,2022,1
VER,10.0,0 days 00:01:39.392000,SOFT,1.0,,,2022,1
VER,11.0,0 days 00:01:39.479000,SOFT,1.0,,,2022,1
VER,12.0,0 days 00:01:39.410000,SOFT,1.0,,,2022,1
VER,13.0,0 days 00:01:39.534000,SOFT,1.0,,,2022,1
VER,14.0,0 days 00:01:42.050000,SOFT,1.0,0 days 01:25:43.479000,,2022,1
VER,15.0,0 days 00:01:57.409000,SOFT,2.0,,0 days 01:26:08.393000,2022,1
VER,16.0,0 days 00:01:36.905000,SOFT,2.0,,,2022,1
VER,17.0,0 days 00:01:37.587000,SOFT,2.0,,,2022,1
VER,18.0,0 days 00:01:37.717000,SOFT,2.0,,,2022,1
VER,19.0,0 days 00:01:37.728000,SOFT,2.0,,,2022,1
VER,20.0,0 days 00:01:38.257000,SOFT,2.0,,,2022,1
VER,21.0,0 days 00:01:38.294000,SOFT,2.0,,,2022,1
VER,22.0,0 days 00:01:38.243000,SOFT,2.0,,,2022,1
VER,23.0,0 days 00:01:38.091000,SOFT,2.0,,,2022,1
VER,24.0,0 days 00:01:38.187000,SOFT,2.0,,,2022,1
VER,25.0,0 days 00:01:38.372000,SOFT,2.0,,,2022,1
VER,26.0,0 days 00:01:38.476000,SOFT,2.0,,,2022,1
VER,27.0,0 days 00:01:38.823000,SOFT,2.0,,,2022,1
VER,28.0,0 days 00:01:38.782000,SOFT,2.0,,,2022,1
VER,29.0,0 days 00:01:39.384000,SOFT,2.0,,,2022,1
VER,30.0,0 days 00:01:41.537000,SOFT,2.0,0 days 01:52:17.298000,,2022,1
VER,31.0,0 days 00:01:57.239000,MEDIUM,3.0,,0 days 01:52:42.243000,2022,1
VER,32.0,0 days 00:01:36.527000,MEDIUM,3.0,,,2022,1
VER,33.0,0 days 00:01:36.347000,MEDIUM,3.0,,,2022,1
VER,34.0,0 days 00:01:36.384000,MEDIUM,3.0,,,2022,1
VER,35.0,0 days 00:01:36.731000,MEDIUM,3.0,,,2022,1
VER,36.0,0 days 00:01:36.920000,MEDIUM,3.0,,,2022,1
VER,37.0,0 days 00:01:36.962000,MEDIUM,3.0,,,2022,1
VER,38.0,0 days 00:01:36.898000,MEDIUM,3.0,,,2022,1
VER,39.0,0 days 00:01:37.255000,MEDIUM,3.0,,,2022,1
VER,40.0,0 days 00:01:37.308000,MEDIUM,3.0,,,2022,1
VER,41.0,0 days 00:01:37.284000,MEDIUM,3.0,,,2022,1
VER,42.0,0 days 00:01:37.855000,MEDIUM,3.0,,,2022,1
VER,43.0,0 days 00:01:39.787000,MEDIUM,3.0,0 days 02:13:40.852000,,2022,1
VER,44.0,0 days 00:01:57.242000,SOFT,4.0,,0 days 02:14:05.204000,2022,1
VER,45.0,0 days 00:01:35.747000,SOFT,4.0,,,2022,1
VER,46.0,0 days 00:02:09.941000,SOFT,4.0,,,2022,1
VER,47.0,0 days 00:02:14.782000,SOFT,4.0,,,2022,1
VER,48.0,,SOFT,4.0,,,2022,1
VER,49.0,0 days 00:02:25.374000,SOFT,4.0,,,2022,1
VER,50.0,0 days 00:02:24.508000,SOFT,4.0,,,2022,1
VER,51.0,0 days 00:01:35.440000,SOFT,4.0,,,2022,1
VER,52.0,0 days 00:01:35.462000,SOFT,4.0,,,2022,1
VER,53.0,0 days 00:01:35.927000,SOFT,4.0,,,2022,1
VER,54.0,0 days 00:02:04.094000,SOFT,4.0,0 days 02:35:48.693000,,2022,1
GAS,1.0,0 days 00:01:44.270000,SOFT,1.0,,,2022,1
GAS,2.0,0 days 00:01:40.169000,SOFT,1.0,,,2022,1
GAS,3.0,0 days 00:01:39.968000,SOFT,1.0,,,2022,1
GAS,4.0,0 days 00:01:40.158000,SOFT,1.0,,,2022,1
GAS,5.0,0 days 00:01:40.249000,SOFT,1.0,,,2022,1
GAS,6.0,0 days 00:01:40.474000,SOFT,1.0,,,2022,1
GAS,7.0,0 days 00:01:40.433000,SOFT,1.0,,,2022,1
GAS,8.0,0 days 00:01:40.684000,SOFT,1.0,,,2022,1
GAS,9.0,0 days 00:01:40.844000,SOFT,1.0,,,2022,1
GAS,10.0,0 days 00:01:40.981000,SOFT,1.0,,,2022,1
GAS,11.0,0 days 00:01:41.089000,SOFT,1.0,,,2022,1
GAS,12.0,0 days 00:01:41.347000,SOFT,1.0,,,2022,1
GAS,13.0,0 days 00:01:41.256000,SOFT,1.0,,,2022,1
GAS,14.0,0 days 00:01:44.005000,SOFT,1.0,0 days 01:26:09.339000,,2022,1
GAS,15.0,0 days 00:02:01.397000,MEDIUM,2.0,,0 days 01:26:33.917000,2022,1
GAS,16.0,0 days 00:01:38.705000,MEDIUM,2.0,,,2022,1
GAS,17.0,0 days 00:01:38.868000,MEDIUM,2.0,,,2022,1
GAS,18.0,0 days 00:01:38.888000,MEDIUM,2.0,,,2022,1
GAS,19.0,0 days 00:01:39.416000,MEDIUM,2.0,,,2022,1
GAS,20.0,0 days 00:01:39.134000,MEDIUM,2.0,,,2022,1
GAS,21.0,0 days 00:01:39.083000,MEDIUM,2.0,,,2022,1
GAS,22.0,0 days 00:01:39.152000,MEDIUM,2.0,,,2022,1
GAS,23.0,0 days 00:01:39.310000,MEDIUM,2.0,,,2022,1
GAS,24.0,0 days 00:01:39.363000,MEDIUM,2.0,,,2022,1
GAS,25.0,0 days 00:01:39.485000,MEDIUM,2.0,,,2022,1
GAS,26.0,0 days 00:01:39.513000,MEDIUM,2.0,,,2022,1
GAS,27.0,0 days 00:01:39.919000,MEDIUM,2.0,,,2022,1
GAS,28.0,0 days 00:01:39.665000,MEDIUM,2.0,,,2022,1
GAS,29.0,0 days 00:01:39.677000,MEDIUM,2.0,,,2022,1
GAS,30.0,0 days 00:01:39.800000,MEDIUM,2.0,,,2022,1
GAS,31.0,0 days 00:01:40.874000,MEDIUM,2.0,,,2022,1
GAS,32.0,0 days 00:01:42.305000,MEDIUM,2.0,0 days 01:56:23.860000,,2022,1
GAS,33.0,0 days 00:02:00.808000,HARD,3.0,,0 days 01:56:50.023000,2022,1
GAS,34.0,0 days 00:01:37.324000,HARD,3.0,,,2022,1
GAS,35.0,0 days 00:01:37.540000,HARD,3.0,,,2022,1
GAS,36.0,0 days 00:01:39.827000,HARD,3.0,,,2022,1
GAS,37.0,0 days 00:01:39.596000,HARD,3.0,,,2022,1
GAS,38.0,0 days 00:01:38.221000,HARD,3.0,,,2022,1
GAS,39.0,0 days 00:01:38.552000,HARD,3.0,,,2022,1
GAS,40.0,0 days 00:01:38.204000,HARD,3.0,,,2022,1
GAS,41.0,0 days 00:01:38.301000,HARD,3.0,,,2022,1
GAS,42.0,0 days 00:01:38.329000,HARD,3.0,,,2022,1
GAS,43.0,0 days 00:01:38.478000,HARD,3.0,,,2022,1
GAS,44.0,0 days 00:01:38.704000,HARD,3.0,,,2022,1
GAS,45.0,,HARD,3.0,,,2022,1
PER,1.0,0 days 00:01:42.993000,SOFT,1.0,,,2022,1
PER,2.0,0 days 00:01:39.092000,SOFT,1.0,,,2022,1
PER,3.0,0 days 00:01:39.473000,SOFT,1.0,,,2022,1
PER,4.0,0 days 00:01:38.741000,SOFT,1.0,,,2022,1
PER,5.0,0 days 00:01:38.861000,SOFT,1.0,,,2022,1
PER,6.0,0 days 00:01:39.218000,SOFT,1.0,,,2022,1
PER,7.0,0 days 00:01:39.264000,SOFT,1.0,,,2022,1
PER,8.0,0 days 00:01:39.825000,SOFT,1.0,,,2022,1
PER,9.0,0 days 00:01:40.215000,SOFT,1.0,,,2022,1
PER,10.0,0 days 00:01:39.806000,SOFT,1.0,,,2022,1
PER,11.0,0 days 00:01:39.931000,SOFT,1.0,,,2022,1
PER,12.0,0 days 00:01:39.754000,SOFT,1.0,,,2022,1
PER,13.0,0 days 00:01:39.992000,SOFT,1.0,,,2022,1
PER,14.0,0 days 00:01:40.035000,SOFT,1.0,,,2022,1
PER,15.0,0 days 00:01:42.445000,SOFT,1.0,0 days 01:27:33.086000,,2022,1
PER,16.0,0 days 00:01:58.858000,MEDIUM,2.0,,0 days 01:27:58.089000,2022,1
PER,17.0,0 days 00:01:36.634000,MEDIUM,2.0,,,2022,1
PER,18.0,0 days 00:01:36.852000,MEDIUM,2.0,,,2022,1
PER,19.0,0 days 00:01:37.214000,MEDIUM,2.0,,,2022,1
PER,20.0,0 days 00:01:37.532000,MEDIUM,2.0,,,2022,1
PER,21.0,0 days 00:01:37.629000,MEDIUM,2.0,,,2022,1
PER,22.0,0 days 00:01:37.862000,MEDIUM,2.0,,,2022,1
PER,23.0,0 days 00:01:37.960000,MEDIUM,2.0,,,2022,1
PER,24.0,0 days 00:01:38.155000,MEDIUM,2.0,,,2022,1
PER,25.0,0 days 00:01:38.419000,MEDIUM,2.0,,,2022,1
PER,26.0,0 days 00:01:38.693000,MEDIUM,2.0,,,2022,1
PER,27.0,0 days 00:01:38.563000,MEDIUM,2.0,,,2022,1
PER,28.0,0 days 00:01:38.697000,MEDIUM,2.0,,,2022,1
PER,29.0,0 days 00:01:38.990000,MEDIUM,2.0,,,2022,1
PER,30.0,0 days 00:01:38.879000,MEDIUM,2.0,,,2022,1
PER,31.0,0 days 00:01:39.292000,MEDIUM,2.0,,,2022,1
PER,32.0,0 days 00:01:39.222000,MEDIUM,2.0,,,2022,1
PER,33.0,0 days 00:01:41.868000,MEDIUM,2.0,0 days 01:57:24.378000,,2022,1
PER,34.0,0 days 00:01:57.056000,SOFT,3.0,,0 days 01:57:48.527000,2022,1
PER,35.0,0 days 00:01:36.302000,SOFT,3.0,,,2022,1
PER,36.0,0 days 00:01:36.511000,SOFT,3.0,,,2022,1
PER,37.0,0 days 00:01:37.119000,SOFT,3.0,,,2022,1
PER,38.0,0 days 00:01:36.755000,SOFT,3.0,,,2022,1
PER,39.0,0 days 00:01:36.987000,SOFT,3.0,,,2022,1
PER,40.0,0 days 00:01:37.178000,SOFT,3.0,,,2022,1
PER,41.0,0 days 00:01:37.639000,SOFT,3.0,,,2022,1
PER,42.0,0 days 00:01:37.255000,SOFT,3.0,,,2022,1
PER,43.0,0 days 00:01:40.228000,SOFT,3.0,0 days 02:13:57.416000,,2022,1
PER,44.0,0 days 00:01:56.521000,SOFT,4.0,,0 days 02:14:22.333000,2022,1
PER,45.0,0 days 00:01:43.562000,SOFT,4.0,,,2022,1
PER,46.0,0 days 00:02:08.400000,SOFT,4.0,,,2022,1
PER,47.0,0 days 00:02:12.050000,SOFT,4.0,,,2022,1
PER,48.0,0 days 00:02:16.085000,SOFT,4.0,,,2022,1
PER,49.0,0 days 00:02:25.098000,SOFT,4.0,,,2022,1
PER,50.0,0 days 00:02:21.747000,SOFT,4.0,,,2022,1
PER,51.0,0 days 00:01:36.389000,SOFT,4.0,,,2022,1
PER,52.0,0 days 00:01:36.089000,SOFT,4.0,,,2022,1
PER,53.0,0 days 00:01:36.113000,SOFT,4.0,,,2022,1
PER,54.0,0 days 00:01:36.755000,SOFT,4.0,,,2022,1
PER,55.0,0 days 00:01:36.436000,SOFT,4.0,,,2022,1
PER,56.0,0 days 00:01:36.286000,SOFT,4.0,,,2022,1
PER,57.0,,SOFT,4.0,,,2022,1
ALO,1.0,0 days 00:01:45.174000,SOFT,1.0,,,2022,1
ALO,2.0,0 days 00:01:40.412000,SOFT,1.0,,,2022,1
ALO,3.0,0 days 00:01:40.226000,SOFT,1.0,,,2022,1
ALO,4.0,0 days 00:01:40.097000,SOFT,1.0,,,2022,1
ALO,5.0,0 days 00:01:40.465000,SOFT,1.0,,,2022,1
ALO,6.0,0 days 00:01:40.658000,SOFT,1.0,,,2022,1
ALO,7.0,0 days 00:01:40.823000,SOFT,1.0,,,2022,1
ALO,8.0,0 days 00:01:42.371000,SOFT,1.0,,,2022,1
ALO,9.0,0 days 00:01:41.448000,SOFT,1.0,,,2022,1
ALO,10.0,0 days 00:01:41.873000,SOFT,1.0,,,2022,1
ALO,11.0,0 days 00:01:44.265000,SOFT,1.0,0 days 01:21:11.171000,,2022,1
ALO,12.0,0 days 00:02:00.053000,MEDIUM,2.0,,0 days 01:21:36.557000,2022,1
ALO,13.0,0 days 00:01:39.050000,MEDIUM,2.0,,,2022,1
ALO,14.0,0 days 00:01:39.704000,MEDIUM,2.0,,,2022,1
ALO,15.0,0 days 00:01:40.256000,MEDIUM,2.0,,,2022,1
ALO,16.0,0 days 00:01:40.572000,MEDIUM,2.0,,,2022,1
ALO,17.0,0 days 00:01:39.434000,MEDIUM,2.0,,,2022,1
ALO,18.0,0 days 00:01:39.809000,MEDIUM,2.0,,,2022,1
ALO,19.0,0 days 00:01:39.785000,MEDIUM,2.0,,,2022,1
ALO,20.0,0 days 00:01:39.874000,MEDIUM,2.0,,,2022,1
ALO,21.0,0 days 00:01:40.087000,MEDIUM,2.0,,,2022,1
ALO,22.0,0 days 00:01:40.504000,MEDIUM,2.0,,,2022,1
ALO,23.0,0 days 00:01:39.922000,MEDIUM,2.0,,,2022,1
ALO,24.0,0 days 00:01:40.496000,MEDIUM,2.0,,,2022,1
ALO,25.0,0 days 00:01:42.836000,MEDIUM,2.0,0 days 01:44:53.550000,,2022,1
ALO,26.0,0 days 00:02:00.922000,HARD,3.0,,0 days 01:45:18.506000,2022,1
ALO,27.0,0 days 00:01:37.995000,HARD,3.0,,,2022,1
ALO,28.0,0 days 00:01:38.908000,HARD,3.0,,,2022,1
ALO,29.0,0 days 00:01:38.680000,HARD,3.0,,,2022,1
ALO,30.0,0 days 00:01:38.626000,HARD,3.0,,,2022,1
ALO,31.0,0 days 00:01:38.958000,HARD,3.0,,,2022,1
ALO,32.0,0 days 00:01:39.153000,HARD,3.0,,,2022,1
ALO,33.0,0 days 00:01:39.686000,HARD,3.0,,,2022,1
ALO,34.0,0 days 00:01:39.208000,HARD,3.0,,,2022,1
ALO,35.0,0 days 00:01:39.214000,HARD,3.0,,,2022,1
ALO,36.0,0 days 00:01:39.389000,HARD,3.0,,,2022,1
ALO,37.0,0 days 00:01:39.426000,HARD,3.0,,,2022,1
ALO,38.0,0 days 00:01:40.034000,HARD,3.0,,,2022,1
ALO,39.0,0 days 00:01:40.009000,HARD,3.0,,,2022,1
ALO,40.0,0 days 00:01:40.295000,HARD,3.0,,,2022,1
ALO,41.0,0 days 00:01:39.854000,HARD,3.0,,,2022,1
ALO,42.0,0 days 00:01:42.925000,HARD,3.0,0 days 02:13:26.856000,,2022,1
ALO,43.0,0 days 00:01:57.366000,SOFT,4.0,,0 days 02:13:51.395000,2022,1
ALO,44.0,0 days 00:01:36.733000,SOFT,4.0,,,2022,1
ALO,45.0,0 days 00:02:07.867000,SOFT,4.0,,,2022,1
ALO,46.0,0 days 00:02:10.714000,SOFT,4.0,,,2022,1
ALO,47.0,0 days 00:01:51.463000,SOFT,4.0,,,2022,1
ALO,48.0,0 days 00:01:45.574000,SOFT,4.0,,,2022,1
ALO,49.0,0 days 00:01:53.977000,SOFT,4.0,,,2022,1
ALO,50.0,0 days 00:02:13.261000,SOFT,4.0,,,2022,1
ALO,51.0,0 days 00:01:39.006000,SOFT,4.0,,,2022,1
ALO,52.0,0 days 00:01:37.538000,SOFT,4.0,,,2022,1
ALO,53.0,0 days 00:01:37.396000,SOFT,4.0,,,2022,1
ALO,54.0,0 days 00:01:37.303000,SOFT,4.0,,,2022,1
ALO,55.0,0 days 00:01:37.672000,SOFT,4.0,,,2022,1
ALO,56.0,0 days 00:01:37.642000,SOFT,4.0,,,2022,1
ALO,57.0,0 days 00:01:38.986000,SOFT,4.0,,,2022,1
LEC,1.0,0 days 00:01:39.070000,SOFT,1.0,,,2022,1
LEC,2.0,0 days 00:01:37.853000,SOFT,1.0,,,2022,1
LEC,3.0,0 days 00:01:38.272000,SOFT,1.0,,,2022,1
LEC,4.0,0 days 00:01:38.414000,SOFT,1.0,,,2022,1
LEC,5.0,0 days 00:01:38.471000,SOFT,1.0,,,2022,1
LEC,6.0,0 days 00:01:38.712000,SOFT,1.0,,,2022,1
LEC,7.0,0 days 00:01:38.835000,SOFT,1.0,,,2022,1
LEC,8.0,0 days 00:01:38.951000,SOFT,1.0,,,2022,1
LEC,9.0,0 days 00:01:38.807000,SOFT,1.0,,,2022,1
LEC,10.0,0 days 00:01:39.123000,SOFT,1.0,,,2022,1
LEC,11.0,0 days 00:01:39.306000,SOFT,1.0,,,2022,1
LEC,12.0,0 days 00:01:39.256000,SOFT,1.0,,,2022,1
LEC,13.0,0 days 00:01:39.279000,SOFT,1.0,,,2022,1
LEC,14.0,0 days 00:01:39.629000,SOFT,1.0,,,2022,1
LEC,15.0,0 days 00:01:42.041000,SOFT,1.0,0 days 01:27:19.419000,,2022,1
LEC,16.0,0 days 00:01:57.660000,SOFT,2.0,,0 days 01:27:44.452000,2022,1
LEC,17.0,0 days 00:01:37.520000,SOFT,2.0,,,2022,1
LEC,18.0,0 days 00:01:37.634000,SOFT,2.0,,,2022,1
LEC,19.0,0 days 00:01:37.408000,SOFT,2.0,,,2022,1
LEC,20.0,0 days 00:01:37.562000,SOFT,2.0,,,2022,1
LEC,21.0,0 days 00:01:37.807000,SOFT,2.0,,,2022,1
LEC,22.0,0 days 00:01:37.752000,SOFT,2.0,,,2022,1
LEC,23.0,0 days 00:01:37.774000,SOFT,2.0,,,2022,1
LEC,24.0,0 days 00:01:37.913000,SOFT,2.0,,,2022,1
LEC,25.0,0 days 00:01:38.061000,SOFT,2.0,,,2022,1
LEC,26.0,0 days 00:01:38.371000,SOFT,2.0,,,2022,1
LEC,27.0,0 days 00:01:38.785000,SOFT,2.0,,,2022,1
LEC,28.0,0 days 00:01:39.051000,SOFT,2.0,,,2022,1
LEC,29.0,0 days 00:01:38.887000,SOFT,2.0,,,2022,1
LEC,30.0,0 days 00:01:39.354000,SOFT,2.0,,,2022,1
LEC,31.0,0 days 00:01:41.545000,SOFT,2.0,0 days 01:53:52.515000,,2022,1
LEC,32.0,0 days 00:01:56.325000,MEDIUM,3.0,,0 days 01:54:17.028000,2022,1
LEC,33.0,0 days 00:01:36.674000,MEDIUM,3.0,,,2022,1
LEC,34.0,0 days 00:01:36.399000,MEDIUM,3.0,,,2022,1
LEC,35.0,0 days 00:01:36.501000,MEDIUM,3.0,,,2022,1
LEC,36.0,0 days 00:01:36.561000,MEDIUM,3.0,,,2022,1
LEC,37.0,0 days 00:01:36.663000,MEDIUM,3.0,,,2022,1
LEC,38.0,0 days 00:01:36.623000,MEDIUM,3.0,,,2022,1
LEC,39.0,0 days 00:01:36.939000,MEDIUM,3.0,,,2022,1
LEC,40.0,0 days 00:01:36.807000,MEDIUM,3.0,,,2022,1
LEC,41.0,0 days 00:01:37.044000,MEDIUM,3.0,,,2022,1
LEC,42.0,0 days 00:01:37.040000,MEDIUM,3.0,,,2022,1
LEC,43.0,0 days 00:01:37.346000,MEDIUM,3.0,,,2022,1
LEC,44.0,0 days 00:01:37.509000,MEDIUM,3.0,,,2022,1
LEC,45.0,0 days 00:01:37.413000,MEDIUM,3.0,,,2022,1
LEC,46.0,0 days 00:02:05.151000,MEDIUM,3.0,0 days 02:18:53.486000,,2022,1
LEC,47.0,,SOFT,4.0,,0 days 02:19:18.088000,2022,1
LEC,48.0,,SOFT,4.0,,,2022,1
LEC,49.0,0 days 00:02:26.221000,SOFT,4.0,,,2022,1
LEC,50.0,0 days 00:02:24.429000,SOFT,4.0,,,2022,1
LEC,51.0,0 days 00:01:34.570000,SOFT,4.0,,,2022,1
LEC,52.0,0 days 00:01:35.027000,SOFT,4.0,,,2022,1
LEC,53.0,0 days 00:01:35.127000,SOFT,4.0,,,2022,1
LEC,54.0,0 days 00:01:35.429000,SOFT,4.0,,,2022,1
LEC,55.0,0 days 00:01:35.427000,SOFT,4.0,,,2022,1
LEC,56.0,0 days 00:01:35.673000,SOFT,4.0,,,2022,1
LEC,57.0,0 days 00:01:36.373000,SOFT,4.0,,,2022,1
STR,1.0,0 days 00:01:50.439000,SOFT,1.0,,,2022,1
STR,2.0,0 days 00:01:41.019000,SOFT,1.0,,,2022,1
STR,3.0,0 days 00:01:40.887000,SOFT,1.0,,,2022,1
STR,4.0,0 days 00:01:41.931000,SOFT,1.0,,,2022,1
STR,5.0,0 days 00:01:41.715000,SOFT,1.0,,,2022,1
STR,6.0,0 days 00:01:41.897000,SOFT,1.0,,,2022,1
STR,7.0,0 days 00:01:41.827000,SOFT,1.0,,,2022,1
STR,8.0,0 days 00:01:42.174000,SOFT,1.0,,,2022,1
STR,9.0,0 days 00:01:41.557000,SOFT,1.0,,,2022,1
STR,10.0,0 days 00:01:42.350000,SOFT,1.0,,,2022,1
STR,11.0,0 days 00:01:42.343000,SOFT,1.0,,,2022,1
STR,12.0,0 days 00:01:42.462000,SOFT,1.0,,,2022,1
STR,13.0,0 days 00:01:42.235000,SOFT,1.0,,,2022,1
STR,14.0,0 days 00:01:41.803000,SOFT,1.0,,,2022,1
STR,15.0,0 days 00:01:41.875000,SOFT,1.0,,,2022,1
STR,16.0,0 days 00:01:42.592000,SOFT,1.0,,,2022,1
STR,17.0,0 days 00:01:41.858000,SOFT,1.0,,,2022,1
STR,18.0,0 days 00:01:44.384000,SOFT,1.0,0 days 01:33:18.713000,,2022,1
STR,19.0,0 days 00:02:00.651000,SOFT,2.0,,0 days 01:33:44.474000,2022,1
STR,20.0,0 days 00:01:38.940000,SOFT,2.0,,,2022,1
STR,21.0,0 days 00:01:38.713000,SOFT,2.0,,,2022,1
STR,22.0,0 days 00:01:39.655000,SOFT,2.0,,,2022,1
STR,23.0,0 days 00:01:39.811000,SOFT,2.0,,,2022,1
STR,24.0,0 days 00:01:39.887000,SOFT,2.0,,,2022,1
STR,25.0,0 days 00:01:39.774000,SOFT,2.0,,,2022,1
STR,26.0,0 days 00:01:40.445000,SOFT,2.0,,,2022,1
STR,27.0,0 days 00:01:40.371000,SOFT,2.0,,,2022,1
STR,28.0,0 days 00:01:40.181000,SOFT,2.0,,,2022,1
STR,29.0,0 days 00:01:40.054000,SOFT,2.0,,,2022,1
STR,30.0,0 days 00:01:40.850000,SOFT,2.0,,,2022,1
STR,31.0,0 days 00:01:40.855000,SOFT,2.0,,,2022,1
STR,32.0,0 days 00:01:40.037000,SOFT,2.0,,,2022,1
STR,33.0,0 days 00:01:40.347000,SOFT,2.0,,,2022,1
STR,34.0,0 days 00:01:40.363000,SOFT,2.0,,,2022,1
STR,35.0,0 days 00:01:40.452000,SOFT,2.0,,,2022,1
STR,36.0,0 days 00:01:40.484000,SOFT,2.0,,,2022,1
STR,37.0,0 days 00:01:40.487000,SOFT,2.0,,,2022,1
STR,38.0,0 days 00:01:43.895000,SOFT,2.0,0 days 02:07:04.987000,,2022,1
STR,39.0,0 days 00:02:01.514000,MEDIUM,3.0,,0 days 02:07:31.988000,2022,1
STR,40.0,0 days 00:01:37.861000,MEDIUM,3.0,,,2022,1
STR,41.0,0 days 00:01:38.363000,MEDIUM,3.0,,,2022,1
STR,42.0,0 days 00:01:38.127000,MEDIUM,3.0,,,2022,1
STR,43.0,0 days 00:01:39.462000,MEDIUM,3.0,,,2022,1
STR,44.0,0 days 00:01:38.281000,MEDIUM,3.0,,,2022,1
STR,45.0,0 days 00:02:13.896000,MEDIUM,3.0,0 days 02:19:32.487000,,2022,1
STR,46.0,0 days 00:02:29.264000,SOFT,4.0,,0 days 02:19:57.520000,2022,1
STR,47.0,0 days 00:02:13.815000,SOFT,4.0,,,2022,1
STR,48.0,0 days 00:01:53.799000,SOFT,4.0,,,2022,1
STR,49.0,0 days 00:01:37.146000,SOFT,4.0,,,2022,1
STR,50.0,0 days 00:01:37.326000,SOFT,4.0,,,2022,1
STR,51.0,0 days 00:01:37.274000,SOFT,4.0,,,2022,1
STR,52.0,0 days 00:01:37.622000,SOFT,4.0,,,2022,1
STR,53.0,0 days 00:01:38.678000,SOFT,4.0,,,2022,1
STR,54.0,0 days 00:01:37.877000,SOFT,4.0,,,2022,1
STR,55.0,0 days 00:01:38.328000,SOFT,4.0,,,2022,1
STR,56.0,0 days 00:01:38.829000,SOFT,4.0,,,2022,1
STR,57.0,0 days 00:01:40.395000,SOFT,4.0,,,2022,1
MAG,1.0,0 days 00:01:42.333000,SOFT,1.0,,,2022,1
MAG,2.0,0 days 00:01:38.993000,SOFT,1.0,,,2022,1
MAG,3.0,0 days 00:01:41.224000,SOFT,1.0,,,2022,1
MAG,4.0,0 days 00:01:39.642000,SOFT,1.0,,,2022,1
MAG,5.0,0 days 00:01:41.169000,SOFT,1.0,,,2022,1
MAG,6.0,0 days 00:01:40.338000,SOFT,1.0,,,2022,1
MAG,7.0,0 days 00:01:40.555000,SOFT,1.0,,,2022,1
MAG,8.0,0 days 00:01:40.451000,SOFT,1.0,,,2022,1
MAG,9.0,0 days 00:01:40.756000,SOFT,1.0,,,2022,1
MAG,10.0,0 days 00:01:41.195000,SOFT,1.0,,,2022,1
MAG,11.0,0 days 00:01:41.064000,SOFT,1.0,,,2022,1
MAG,12.0,0 days 00:01:41.370000,SOFT,1.0,,,2022,1
MAG,13.0,0 days 00:01:41.283000,SOFT,1.0,,,2022,1
MAG,14.0,0 days 00:01:44.244000,SOFT,1.0,0 days 01:26:08.020000,,2022,1
MAG,15.0,0 days 00:01:59.764000,SOFT,2.0,,0 days 01:26:33.458000,2022,1
MAG,16.0,0 days 00:01:37.968000,SOFT,2.0,,,2022,1
MAG,17.0,0 days 00:01:38.216000,SOFT,2.0,,,2022,1
MAG,18.0,0 days 00:01:38.442000,SOFT,2.0,,,2022,1
MAG,19.0,0 days 00:01:38.539000,SOFT,2.0,,,2022,1
MAG,20.0,0 days 00:01:38.883000,SOFT,2.0,,,2022,1
MAG,21.0,0 days 00:01:38.859000,SOFT,2.0,,,2022,1
MAG,22.0,0 days 00:01:39.058000,SOFT,2.0,,,2022,1
MAG,23.0,0 days 00:01:39.120000,SOFT,2.0,,,2022,1
MAG,24.0,0 days 00:01:39.384000,SOFT,2.0,,,2022,1
MAG,25.0,0 days 00:01:39.520000,SOFT,2.0,,,2022,1
MAG,26.0,0 days 00:01:39.756000,SOFT,2.0,,,2022,1
MAG,27.0,0 days 00:01:39.796000,SOFT,2.0,,,2022,1
MAG,28.0,0 days 00:01:39.774000,SOFT,2.0,,,2022,1
MAG,29.0,0 days 00:01:39.984000,SOFT,2.0,,,2022,1
MAG,30.0,0 days 00:01:40.174000,SOFT,2.0,,,2022,1
MAG,31.0,0 days 00:01:40.233000,SOFT,2.0,,,2022,1
MAG,32.0,0 days 00:01:40.522000,SOFT,2.0,,,2022,1
MAG,33.0,0 days 00:01:40.523000,SOFT,2.0,,,2022,1
MAG,34.0,0 days 00:01:43.256000,SOFT,2.0,0 days 01:59:39.763000,,2022,1
MAG,35.0,0 days 00:02:00.375000,MEDIUM,3.0,,0 days 02:00:05.641000,2022,1
MAG,36.0,0 days 00:01:37.941000,MEDIUM,3.0,,,2022,1
MAG,37.0,0 days 00:01:36.903000,MEDIUM,3.0,,,2022,1
MAG,38.0,0 days 00:01:37.636000,MEDIUM,3.0,,,2022,1
MAG,39.0,0 days 00:01:37.566000,MEDIUM,3.0,,,2022,1
